tarih,istasyon,sicaklik_ort_c,bagil_nem_ort_yuzde,yagis_toplam_mm,basinc_ort_hpa,ruzgar_u_ort_ms,ruzgar_v_ort_ms,ruzgar_hizi_ort_ms,saat_sayisi
2024-02-18,alanya,8.854655,77.75892,2.9639452695846558,955.24194,-0.32411274,-0.84180397,1.5254059,24
2024-02-19,alanya,8.998637,68.34353,0.0017232223399332725,954.0586,-0.21850665,-0.80392,1.5987955,24
2024-02-20,alanya,8.849498,67.82132,0.005587310624832753,955.30835,-0.5207698,-0.36779153,1.5500387,24
2024-02-21,alanya,9.064525,75.21751,0.1361114154860843,956.7742,-0.51740646,0.052878022,1.383976,24
2024-02-22,alanya,9.358002,79.31371,0.05688071178155951,956.7348,-0.2166074,-0.1970917,1.4297504,24
2024-02-23,alanya,9.883514,73.93276,0.0012755390343954787,956.8443,0.03439649,-0.59691066,1.5188417,24
2024-02-24,alanya,10.172069,71.16686,0.026986895136360545,957.36053,0.110879265,-0.6691815,1.5692323,24
2024-02-25,alanya,11.237152,69.74319,0.0008377668336834176,955.83966,-0.25228664,-0.6505603,1.7430342,24
2024-02-26,alanya,10.546509,75.06544,0.21022980217821896,951.71246,-1.1496048,0.4216151,1.6820703,24
2024-02-27,alanya,10.739614,70.84966,0.03393035149201751,953.22,0.0874995,-0.5891749,1.6356276,24
2024-02-28,alanya,10.9332075,73.51313,0.0,958.3643,-0.02439948,-0.2834848,1.4006834,24
2024-02-29,alanya,11.034434,77.87063,0.0,959.16815,-0.18356831,-0.49506378,1.5840608,24
2024-03-01,alanya,10.893535,78.03467,0.000852346317969932,954.8006,-0.079660416,-0.7878113,1.9695139,24
2024-03-02,alanya,11.493602,66.48284,0.006818771169037063,949.55194,-0.051322937,-0.43380138,1.534757,24
2024-03-03,alanya,10.893352,65.378235,0.005104432148073101,949.57916,-0.06982867,-0.00586013,1.3657812,24
2024-03-04,alanya,10.215016,77.813896,0.703018915373832,951.3357,-0.22900772,-0.22034772,1.4854566,24
2024-03-05,alanya,10.224091,81.444176,13.959567993879318,951.0506,-1.1890888,1.5189809,2.5949636,24
2024-03-06,alanya,10.216309,85.73954,15.05357213318348,947.8503,-0.21120135,0.5588006,1.6046275,24
2024-03-07,alanya,9.737529,69.77529,0.000852346317969932,951.00684,0.20696767,-0.75842553,1.8619522,24
2024-03-08,alanya,8.159129,80.74383,5.609157495200634,951.43976,-1.0908979,0.15052497,1.862678,24
2024-03-09,alanya,9.199971,70.44949,0.016003847122192383,950.3789,0.49113083,-0.73024315,1.8243958,24
2024-03-10,alanya,9.3809,63.139294,0.008049606549320742,952.45233,-0.460392,-0.7716592,1.9067168,24
2024-03-11,alanya,9.483887,67.84473,0.0004351138045421976,958.54315,-0.12482604,-0.5358575,1.7604855,24
2024-03-12,alanya,10.519836,73.07775,0.002831732274444221,957.4118,-0.2294553,-0.19252138,1.4558438,24
2024-03-13,alanya,12.666097,61.12885,0.32570958137512207,951.67163,-0.23493862,0.014359157,1.0704621,24
2024-03-14,alanya,10.464966,70.75087,1.1791468132287264,950.3648,0.02652506,-0.102987014,1.426744,24
2024-03-15,alanya,10.385498,73.79722,0.9074561530724168,950.8045,0.14284618,-0.098992385,1.3550102,24
2024-03-16,alanya,10.484151,72.10345,0.023846165277063847,952.9808,-0.17917748,-0.3893725,1.7066802,24
2024-03-17,alanya,9.902598,76.864784,0.16179680824279785,952.1656,-0.49645677,0.16955638,1.6383077,24
2024-03-18,alanya,11.030823,71.78333,1.7406292899977416,946.09845,0.12270037,-0.95706177,1.6545721,24
2024-03-19,alanya,11.1145935,69.706566,0.08614659600425512,944.4922,0.21379662,-0.6040687,2.0023038,24
2024-03-20,alanya,10.555593,78.5867,5.494889846886508,947.9585,-0.77284557,0.80180246,1.8190533,24
2024-03-21,alanya,9.662486,83.054474,9.03822761029005,948.23944,-0.5720073,-0.20633762,1.3460468,24
2024-03-22,alanya,8.37206,54.916443,0.002133845555363223,947.178,1.0506516,-1.8774363,2.8547084,24
2024-03-23,alanya,8.399486,54.35646,0.000852346317969932,949.46484,-0.28791618,-0.65816236,1.9615394,24
2024-03-24,alanya,8.6640625,67.49348,0.000852346317969932,948.2681,0.3534379,-0.45683178,1.8308252,24
2024-03-25,alanya,9.980336,79.08434,18.46626028418541,947.533,-0.03848521,0.97152835,2.196012,24
2024-03-26,alanya,13.669118,74.44881,10.751500725746155,949.8564,1.2741299,-0.0871286,2.0975416,24
2024-03-27,alanya,13.941365,69.58193,0.0017583370208740234,954.7504,-0.43386588,0.17781997,1.3168823,24
2024-03-28,alanya,13.391255,70.127174,0.0008821486972010462,954.8413,-0.3228391,-0.4898336,1.6472975,24
2024-03-29,alanya,16.15922,63.545197,0.002294778823852539,953.769,-0.0731312,-0.66724926,1.5461932,24
2024-03-30,alanya,16.370169,68.31486,0.000852346317969932,956.13116,-0.4009622,-0.63083935,1.7971023,24
2024-03-31,alanya,17.229471,67.28136,0.0017074116840376519,958.1311,-0.25190863,-0.83748245,1.908595,24
2024-04-01,alanya,17.087412,69.33403,0.0,956.2059,-0.2864457,-0.53707224,1.7450494,24
2024-04-02,alanya,17.798594,71.18003,0.0021412958517430525,952.894,-0.18125351,-0.554443,1.8211051,24
2024-04-03,alanya,17.651724,71.14999,0.0,951.16644,-0.35418764,-0.13981903,1.5710601,24
2024-04-04,alanya,15.548096,70.10432,0.016712601791368797,951.4185,-0.60191196,0.59536237,1.7163955,24
2024-04-05,alanya,15.656047,72.85668,1.322704596532276,951.4974,0.28684172,0.1681978,1.3192481,24
2024-04-06,alanya,14.040975,67.76264,4.02404647320509,950.4981,-0.38399315,-0.730614,1.7600745,24
2024-04-07,alanya,14.411102,54.064404,0.04369644375401549,946.2675,-0.50843495,-0.79900074,1.9067234,24
2024-04-08,alanya,13.105489,64.59667,4.580712320603197,946.62225,-0.90717506,-0.6102672,1.8221885,24
2024-04-09,alanya,13.195699,72.89226,3.1616236083209515,947.5686,0.13024203,-0.39776573,1.2304846,24
2024-04-10,alanya,14.858296,81.18566,19.021884072571993,948.72174,-0.13360088,0.42837465,1.0334902,24
2024-04-11,alanya,14.840352,84.033714,11.407852172851562,952.34845,0.022092184,-0.21568425,1.4438475,24
2024-04-12,alanya,15.295674,83.58609,11.860489845275879,953.6658,-0.014813741,-0.3222214,1.4637953,24
2024-04-13,alanya,16.71222,77.400795,8.390376344323158,952.57623,-0.11038145,-0.3934021,1.3035423,24
2024-04-14,alanya,16.912546,67.15709,2.195680048316717,950.8784,-0.65474576,-1.236126,1.7149094,24
2024-04-15,alanya,17.514181,56.160202,0.0008642672355563263,952.96796,-0.24196117,-0.8998367,1.7861806,24
2024-04-16,alanya,17.184296,59.026077,0.00042915337417070987,953.7014,-0.4144001,-0.29540625,1.7848816,24
2024-04-17,alanya,17.451508,57.102345,0.003697105057653971,948.46014,-1.0004692,0.39131165,1.9912893,24
2024-04-18,alanya,17.306223,69.930916,0.14778971672058105,945.7674,-0.3760451,1.9055456,2.1290905,24
