gun,gecerli_saat,pm10_gunluk,gecerli_gun
2024-01-01,24,11.282083333333333,True
2024-01-02,24,8.184166666666668,True
2024-01-03,24,9.79875,True
2024-01-04,24,8.445833333333333,True
2024-01-05,24,8.995833333333334,True
2024-01-06,24,9.13625,True
2024-01-07,24,11.792083333333332,True
2024-01-08,24,15.110416666666666,True
2024-01-09,24,19.746666666666666,True
2024-01-10,24,7.21125,True
2024-01-11,24,7.971666666666667,True
2024-01-12,24,8.604166666666666,True
2024-01-13,24,7.879166666666666,True
2024-01-14,24,6.495416666666666,True
2024-01-15,24,10.149583333333334,True
2024-01-16,24,10.819583333333334,True
2024-01-17,24,10.233333333333333,True
2024-01-18,24,11.486666666666666,True
2024-01-19,24,11.700416666666667,True
2024-01-20,24,10.236666666666666,True
2024-01-21,24,12.927916666666667,True
2024-01-22,24,8.469583333333334,True
2024-01-23,24,8.094166666666666,True
2024-01-24,24,13.15625,True
2024-01-25,24,12.652500000000002,True
2024-01-26,24,10.893749999999999,True
2024-01-27,24,5.66,True
2024-01-28,24,6.920416666666667,True
2024-01-29,24,5.759583333333333,True
2024-01-30,24,8.985000000000001,True
2024-01-31,24,10.237499999999999,True
2024-02-01,24,12.079583333333334,True
2024-02-02,24,10.514166666666666,True
2024-02-03,24,9.587083333333334,True
2024-02-04,24,8.48,True
2024-02-05,24,7.4437500000000005,True
2024-02-06,24,10.539583333333333,True
2024-02-07,24,12.917083333333332,True
2024-02-08,24,8.739166666666668,True
2024-02-09,24,9.765,True
2024-02-10,24,11.021666666666667,True
2024-02-11,24,12.119166666666667,True
2024-02-12,24,17.802083333333332,True
2024-02-13,24,14.934583333333334,True
2024-02-14,24,8.389583333333333,True
2024-02-15,24,10.95375,True
2024-02-16,24,9.533333333333333,True
2024-02-17,24,10.69,True
2024-02-18,24,8.918333333333333,True
2024-02-19,24,9.019583333333333,True
2024-02-20,24,7.554166666666667,True
2024-02-21,24,8.912083333333333,True
2024-02-22,24,11.539583333333333,True
2024-02-23,24,12.42375,True
2024-02-24,24,11.225,True
2024-02-25,24,12.2025,True
2024-02-26,24,13.78875,True
2024-02-27,24,13.043750000000001,True
2024-02-28,24,14.020416666666668,True
2024-02-29,24,13.559166666666668,True
